final_state,leads,revenue_usd,nutrient,avg_nutrient
awareness,1952,0.0,-39.04,-0.02
interest,776,0.0,-15.52,-0.02
discovery,125,62500.0,62497.5,499.98
starter,95,237500.0,199248.1,2097.3484210526317
professional,49,367500.0,298399.01999999996,6089.775918367346
enterprise,3,75000.0,42499.94,14166.646666666667
